112961|31500.00|J.P. Sinclair|35000.00
112963|3276.00|Acme Mfg.|50000.00
112968|3978.00|First Corp.|65000.00
112975|2100.00|JCP Inc.|50000.00
112979|15000.00|Orion Corp.|20000.00
112983|702.00|Acme Mfg.|50000.00
112987|27500.00|Acme Mfg.|50000.00
112989|1458.00|Jones Mfg.|65000.00
112992|760.00|Midwest Systems|60000.00
112993|1896.00|Fred Lewis Corp.|65000.00
112997|652.00|Peter Brothers|40000.00
113003|5625.00|Holm & Landis|55000.00
113007|2925.00|Zetacorp|50000.00
113012|3745.00|JCP Inc.|50000.00
113013|652.00|Midwest Systems|60000.00
113024|7100.00|Orion Corp.|20000.00
113027|4104.00|Acme Mfg.|50000.00
113034|632.00|Ace International|35000.00
113036|22500.00|Ace International|35000.00
113042|22500.00|Ian & Schmidt|20000.00
113045|45000.00|Zetacorp|50000.00
113048|3750.00|Rico Enterprises|50000.00
113049|776.00|Midwest Systems|60000.00
113051|1420.00|Midwest Systems|60000.00
113055|150.00|Holm & Landis|55000.00
113057|600.00|JCP Inc.|50000.00
113058|1480.00|Holm & Landis|55000.00
113062|2430.00|Peter Brothers|40000.00
113065|2130.00|Fred Lewis Corp.|65000.00
113069|31350.00|Chen Associates|25000.00
